"TPLName","Familia","Form"
"Saxifraga stellaris","Saxifragaceae",NA
"Saxifraga tangutica","Saxifragaceae","F"
"Scandix iberica","Apiaceae",NA
"Schizanthus grahamii","Solanaceae",NA
"Schizanthus hookeri","Solanaceae",NA
"Scleranthus singuliflorus","Caryophyllaceae",NA
"Scorzoneroides cantabrica","Compositae",NA
"Scorzoneroides helvetica","Compositae",NA
"Sedum ulricae","Crassulaceae",NA
"Sedum villosum","Crassulaceae",NA
"Sempervivum caucasicum","Crassulaceae",NA
"Senecio bipontinii","Compositae",NA
"Senecio chionophilus","Compositae",NA
"Senecio doronicum","Compositae",NA
"Senecio dubitabilis","Compositae","F"
"Senecio eruciformis","Compositae",NA
"Senecio gunnii","Compositae",NA
"Senecio squalidus","Compositae",NA
"Senecio thianschanicus","Compositae","F"
"Sesleria albicans","Poaceae",NA
"Sesleria caerulea","Poaceae",NA
"Sesleria sphaerocephala","Poaceae",NA
"Sibbaldia procumbens","Rosaceae","F"
"Silene acaulis","Caryophyllaceae",NA
"Silene andicola","Caryophyllaceae",NA
"Silene ciliata","Caryophyllaceae",NA
"Silene frivaldskyana","Caryophyllaceae",NA
"Silene himalayensis","Caryophyllaceae","F"
"Silene linearifolia","Caryophyllaceae",NA
"Silene pygmaea","Caryophyllaceae",NA
"Silene rupestris","Caryophyllaceae",NA
"Silene suecica","Caryophyllaceae",NA
"Silene uniflora","Caryophyllaceae",NA
"Silene vallesia","Caryophyllaceae",NA
"Silene viscariopsis","Caryophyllaceae",NA
"Silene vulgaris","Caryophyllaceae",NA
"Sinochasea trigyna","Poaceae","G"
"Sinopodophyllum hexandrum","Berberidaceae","F"
"Sisymbrium heteromallum","Brassicaceae","F"
"Sisyrinchium arenarium","Iridaceae",NA
"Sisyrinchium pearcei","Iridaceae",NA
"Smelowskia tibetica","Brassicaceae",NA
"Solanum nigrum","Solanaceae","F"
"Soldanella alpina","Primulaceae",NA
"Solidago virgaurea","Compositae",NA
"Spiraea mongolica","Rosaceae","W"
"Stachys alpina","Lamiaceae",NA
"Stachys balansae","Lamiaceae",NA
"Stachys grandidentata","Lamiaceae",NA
"Stackhousia monogyna","Celastraceae",NA
"Stackhousia pulvinaris","Celastraceae",NA
"Stellaria decumbens","Caryophyllaceae","F"
"Stellaria uda","Caryophyllaceae",NA
"Stephanachne nigrescens","Poaceae","G"
"Stipa aliena","Poaceae","G"
"Stipa breviflora","Poaceae",NA
"Stipa capillacea","Poaceae","G"
"Stipa concinna","Poaceae","G"
"Stipa pappiformis","Poaceae",NA
"Stipa regeliana","Poaceae",NA
"Stipa splendens","Poaceae","G"
"Stylidium graminifolium","Stylidiaceae",NA
"Swertia bifolia","Gentianaceae","F"
"Swertia erythrosticta","Gentianaceae","F"
"Swertia wolfgangiana","Gentianaceae",NA
"Taraxacum alpinum","Compositae",NA
"Taraxacum confusum","Compositae",NA
"Taraxacum pieninicum","Compositae",NA
"Taraxacum stevenii","Compositae",NA
"Tasmannia xerophila","Winteraceae",NA
"Teesdaliopsis conferta","Brassicaceae",NA
"Teucrium chamaedrys","Lamiaceae",NA
"Thalictrum alpinum","Ranunculaceae","F"
"Thalictrum rutifolium","Ranunculaceae","F"
"Thlaspi alpestre","Brassicaceae",NA
"Thlaspi caerulescens","Brassicaceae",NA
"Thlaspi orbiculatum","Brassicaceae",NA
"Tibetia himalaica","Leguminosae","F"
"Tofieldia pusilla","Tofieldiaceae",NA
"Tongoloa elata","Apiaceae","F"
"Tongoloa gracilis","Apiaceae",NA
"Trichophorum cespitosum","Cyperaceae",NA
"Trichophorum distigmaticum","Cyperaceae","G"
"Trichophorum pumilum","Cyperaceae","G"
"Trifolium alpinum","Leguminosae",NA
"Trifolium badium","Leguminosae",NA
"Trifolium pallescens","Leguminosae",NA
"Trifolium polyphyllum","Leguminosae",NA
"Trifolium pratense","Leguminosae",NA
"Trifolium thalii","Leguminosae",NA
"Triglochin concinna","Juncaginaceae",NA
"Triglochin palustris","Juncaginaceae","F"
"Trisetum clarkei","Poaceae","G"
"Trisetum spicatum","Poaceae",NA
"Tristagma bivalve","Amaryllidaceae",NA
"Trollius altissimus","Ranunculaceae",NA
"Trollius europaeus","Ranunculaceae",NA
"Trollius farreri","Ranunculaceae","F"
"Urtica hyperborea","Urticaceae",NA
"Verbascum orientale","Scrophulariaceae",NA
"Veronica allionii","Plantaginaceae",NA
"Veronica alpina","Plantaginaceae",NA
"Veronica aphylla","Plantaginaceae",NA
"Veronica bellidioides","Plantaginaceae",NA
"Veronica ciliata","Plantaginaceae","F"
"Veronica eriogyne","Plantaginaceae","F"
"Veronica fruticans","Plantaginaceae",NA
"Veronica gentianoides","Plantaginaceae",NA
"Veronica perfoliata","Plantaginaceae",NA
"Veronica szechuanica","Plantaginaceae","F"
"Veronica vandellioides","Plantaginaceae","F"
"Vicia cusnae","Leguminosae",NA
"Vicia multicaulis","Leguminosae","F"
"Vicia orobus","Leguminosae",NA
"Viola betonicifolia","Violaceae",NA
"Viola comollia","Violaceae",NA
"Viola lutea","Violaceae",NA
"Wahlenbergia ceracea","Campanulaceae",NA
"Wahlenbergia gloriosa","Campanulaceae",NA
"Xerochrysum subundulatum","Compositae",NA
"Zygophyllum fabago","Zygophyllaceae",NA
