;TPLName;Familia;Alpine;Seed.mass;Dormancy;Species;Genus;Family
365;Hieracium perscitum;Compositae;NA;NA;NA;;1.00;1.00
366;Hieracium snowdoniense;Compositae;NA;NA;NA;;1.00;1.00
367;Hieracium stewartii;Compositae;NA;NA;NA;;1.00;1.00
368;Hieracium zygophorum;Compositae;NA;NA;NA;;1.00;1.00
369;Hippuris vulgaris;Plantaginaceae;Generalist;0.967;PD;0.75;0.75;0.48
370;Holosteum marginatum;Caryophyllaceae;NA;NA;NA;;;0.66
371;Homogyne alpina;Compositae;Generalist;1.168;PD;;;1.00
372;Hypochaeris tenuifolia;Compositae;Strict;4.4772;NA;;1.00;1.00
373;Hyssopus officinalis;Lamiaceae;NA;NA;PD;;1.00;0.93
374;Isolepis crassiuscula;Cyperaceae;Generalist;0.2728;NA;;;0.11
375;Isolepis setacea;Cyperaceae;Generalist;0.05975;PD;;;0.11
376;Jacobaea incana;Compositae;Strict;1.2195;NA;;;1.00
377;Jacobaea uniflora;Compositae;NA;NA;NA;;;1.00
378;Jasione cavanillesii;Campanulaceae;Strict;0.096;NA;;;0.22
379;Juncus allioides;Juncaceae;Generalist;NA;PD;;0.15;0.13
380;Juncus amplifolius;Juncaceae;Generalist;NA;PD;;0.15;0.13
381;Juncus balticus;Juncaceae;NA;NA;ND;;0.15;0.13
382;Juncus biglumis;Juncaceae;NA;NA;NA;;0.15;0.13
383;Juncus castaneus;Juncaceae;NA;NA;NA;;0.15;0.13
384;Juncus falcatus;Juncaceae;Generalist;0.0287;NA;;0.15;0.13
385;Juncus filiformis;Juncaceae;NA;NA;PD;;0.15;0.13
386;Juncus himalensis;Juncaceae;Generalist;NA;PD;;0.15;0.13
387;Juncus monanthos;Juncaceae;Strict;0.1588;NA;;0.15;0.13
388;Juncus sphacelatus;Juncaceae;Strict;NA;NA;;0.15;0.13
389;Juncus thomsonii;Juncaceae;Generalist;NA;PD;;0.15;0.13
390;Juncus trifidus;Juncaceae;Strict;0.1525;NA;;0.15;0.13
391;Juncus triglumis;Juncaceae;NA;NA;NA;;0.15;0.13
392;Jurinea blanda;Compositae;NA;NA;NA;;;1.00
393;Jurinea humilis;Compositae;Generalist;5.5759;NA;;;1.00
394;Kelleria dieffenbachii;Thymelaeaceae;Strict;0.155;NA;;;0.99
395;Kobresia capillifolia;Cyperaceae;Generalist;NA;PD;;0.08;0.11
396;Kobresia humilis;Cyperaceae;Generalist;NA;NA;;0.08;0.11
397;Kobresia kansuensis;Cyperaceae;Strict;NA;PD;;0.08;0.11
398;Kobresia macrantha;Cyperaceae;Generalist;NA;NA;;0.08;0.11
399;Kobresia myosuroides;Cyperaceae;Strict;NA;PD;0.08;0.08;0.11
400;Kobresia pygmaea;Cyperaceae;Strict;NA;NA;;0.08;0.11
401;Kobresia setschwanensis;Cyperaceae;Generalist;NA;NA;;0.08;0.11
402;Kobresia simpliciuscula;Cyperaceae;NA;NA;NA;;0.08;0.11
403;Kobresia tibetica;Cyperaceae;Generalist;NA;NA;;0.08;0.11
404;Koeleria litvinowii;Poaceae;Strict;NA;PD;;0.06;0.20
405;Kunzea muelleri;Myrtaceae;Strict;0.17065;NA;;;1.00
406;Lagotis brachystachya;Plantaginaceae;Strict;NA;NA;;;0.48
407;Lancea tibetica;Phrymaceae;Generalist;NA;PD;;;0.86
408;Laretia acaulis;Apiaceae;Strict;8.9281;NA;0.04;0.04;0.06
409;Laserpitium hispidum;Apiaceae;NA;NA;NA;0.06;0.05;0.06
410;Leibnitzia nepalensis;Compositae;Strict;NA;NA;;;1.00
411;Leontodon hispidus;Compositae;Generalist;1.2;ND;;1.00;1.00
412;Leontopodium nanum;Compositae;Generalist;NA;NA;;;1.00
413;Leontopodium nivale;Compositae;Strict;0.1366;NA;;;1.00
414;Leontopodium ochroleucum;Compositae;Generalist;NA;NA;;;1.00
415;Leontopodium souliei;Compositae;Generalist;NA;PD;;;1.00
416;Lepidium apetalum;Brassicaceae;Generalist;0.2148;PD;;1.00;1.00
417;Lepidium capitatum;Brassicaceae;Generalist;NA;NA;;1.00;1.00
418;Lepidium latifolium;Brassicaceae;Generalist;0.1;NA;;1.00;1.00
419;Leucanthemopsis alpina;Compositae;Strict;0.3801;NA;;;1.00
420;Leucochrysum alpinum;Compositae;Generalist;NA;NA;;;1.00
421;Ligularia macrodonta;Compositae;Generalist;NA;PD;;;1.00
422;Ligularia virgaurea;Compositae;Generalist;NA;PD;;;1.00
423;Ligusticum scoticum;Apiaceae;NA;NA;MPD;0.03;0.12;0.06
424;Lilium martagon;Liliaceae;NA;NA;MPD;;0.12;0.06
425;Linaria alpina;Plantaginaceae;Strict;NA;NA;;;0.48
426;Linaria tonzigii;Plantaginaceae;Strict;0.4333;NA;;;0.48
427;Linnaea borealis;Caprifoliaceae;NA;NA;MPD;;;0.34
428;Lloydia oxycarpa;Liliaceae;Generalist;NA;MPD;;;0.06
429;Loasa caespitosa;Loasaceae;Strict;NA;NA;;;0.66
430;Loiseleuria procumbens;Ericaceae;NA;NA;MPD;;;0.27
431;Lomatogonium carinthiacum;Gentianaceae;Generalist;NA;PD;;0.14;0.21
432;Lomatogonium gamosepalum;Gentianaceae;Generalist;NA;NA;;0.14;0.21
433;Lomatogonium macranthum;Gentianaceae;Generalist;NA;PD;;0.14;0.21
434;Lonicera pyrenaica;Caprifoliaceae;NA;NA;NA;;0.05;0.34
435;Luzula acutifolia;Juncaceae;Strict;0.546;NA;;0.10;0.13
436;Luzula alpinopilosa;Juncaceae;Strict;0.2526;NA;;0.10;0.13
437;Luzula brachyphylla;Juncaceae;Generalist;NA;NA;;0.10;0.13
438;Luzula lutea;Juncaceae;NA;NA;NA;;0.10;0.13
439;Luzula modesta;Juncaceae;Generalist;0.5592;NA;;0.10;0.13
440;Luzula nivea;Juncaceae;NA;NA;NA;;0.10;0.13
441;Luzula spicata;Juncaceae;Strict;0.263;PD;;0.10;0.13
442;Madia sativa;Compositae;Generalist;3.1;PD;;0.99;1.00
443;Matricaria breviradiata;Compositae;Strict;0.4236;NA;;1.00;1.00
444;Meconopsis horridula;Papaveraceae;Strict;0.19;MPD;;;0.06
445;Meconopsis integrifolia;Papaveraceae;Generalist;NA;MPD;;;0.06
446;Meconopsis punicea;Papaveraceae;Generalist;NA;MPD;;;0.06
447;Meconopsis quintuplinervia;Papaveraceae;Generalist;NA;MPD;;;0.06
448;Megacarpaea delavayi;Brassicaceae;Strict;NA;PD;;;1.00
449;Microgynoecium tibeticum;Amaranthaceae;Strict;NA;NA;;;0.67
450;Microseris lanceolata;Compositae;Generalist;2.08;PD;;1.00;1.00
451;Microsteris gracilis;Polemoniaceae;Generalist;1.148;PD;0.75;0.75;0.55
452;Microula sikkimensis;Boraginaceae;Generalist;NA;NA;;;0.89
453;Microula tangutica;Boraginaceae;Strict;NA;NA;;;0.89
454;Minuartia inamoena;Caryophyllaceae;NA;NA;NA;;;0.66
455;Minuartia laricifolia;Caryophyllaceae;NA;NA;NA;;;0.66
456;Minuartia montana;Caryophyllaceae;NA;NA;NA;;;0.66
457;Minuartia rubella;Caryophyllaceae;NA;NA;NA;;;0.66
458;Minuartia sedoides;Caryophyllaceae;NA;NA;NA;;;0.66
459;Minuartia stricta;Caryophyllaceae;NA;NA;NA;;;0.66
460;Minuartia verna;Caryophyllaceae;Generalist;0.18;NA;;;0.66
461;Mniarum biflorum;Caryophyllaceae;Generalist;0.44;NA;;;0.66
462;Montiopsis gayana;Montiaceae;Generalist;NA;NA;;;0.77
463;Mutisia sinuata;Compositae;Generalist;NA;NA;;;1.00
464;Myosotis alpestris;Boraginaceae;Strict;0.85;NA;;1.00;0.89
465;Myosotis alpina;Boraginaceae;Strict;NA;NA;;1.00;0.89
466;Nardostachys jatamansi;Caprifoliaceae;Generalist;NA;PD;;;0.34
467;Nardus stricta;Poaceae;Generalist;0.4;PD;;;0.20
468;Nassauvia lagascae;Compositae;Generalist;NA;NA;;;1.00
469;Nassauvia pinnigera;Compositae;Strict;1.1;NA;;;1.00
470;Nassauvia revoluta;Compositae;Generalist;NA;NA;;;1.00
471;Nastanthus scapigerus;Calyceraceae;Generalist;NA;NA;;;
472;Neopaxia australasica;Portulacaceae;Generalist;NA;NA;;;0.79
473;Nepeta coerulescens;Lamiaceae;Strict;0.9984;NA;;1.00;0.93
474;Nepeta prattii;Lamiaceae;Generalist;NA;PD;;1.00;0.93
475;Nicotiana corymbosa;Solanaceae;Generalist;0.138;NA;;0.48;0.47
476;Nothoscordum andinum;Amaryllidaceae;Generalist;NA;NA;;0.16;0.30
477;Notopterygium franchetii;Apiaceae;Generalist;NA;MPD;;;0.06
478;Notopterygium incisum;Apiaceae;Generalist;NA;MPD;;;0.06
479;Oberna lacera;Caryophyllaceae;NA;NA;NA;;;0.66
480;Olearia algida;Compositae;Generalist;0.419;NA;;;1.00
481;Olearia phlogopappa;Compositae;Generalist;0.6016;NA;;;1.00
482;Olsynium junceum;Iridaceae;Generalist;0.705;NA;;;0.09
483;Olsynium philippii;Iridaceae;Strict;5.425;NA;;;0.09
484;Onobrychis montana;Leguminosae;NA;NA;NA;;1.00;0.97
485;Oreobolus distichus;Cyperaceae;Strict;NA;NA;;;0.11
486;Oxylobium ellipticum;Leguminosae;Generalist;3.87;NA;;;0.97
487;Oxyria digyna;Polygonaceae;Strict;0.75;NA;0.39;0.39;0.56
488;Oxytropis campestris;Leguminosae;NA;NA;PY;0.97;0.98;0.97
489;Oxytropis falcata;Leguminosae;Generalist;NA;PY;;0.98;0.97
490;Oxytropis lapponica;Leguminosae;NA;NA;NA;;0.98;0.97
491;Oxytropis ochrocephala;Leguminosae;Generalist;NA;PY;;0.98;0.97
492;Ozothamnus alpinus;Compositae;Strict;0.2876;NA;;;1.00
493;Ozothamnus cupressoides;Compositae;Generalist;0.1714;NA;;;1.00
494;Ozothamnus hookeri;Compositae;Generalist;0.112;NA;;;1.00
495;Papaver alpinum;Papaveraceae;Strict;0.1774;MPD;;0.17;0.06
496;Papaver cambricum;Papaveraceae;NA;NA;MPD;;0.17;0.06
497;Paraquilegia microphylla;Ranunculaceae;Generalist;NA;MPD;;;0.04
498;Parnassia brevistyla;Celastraceae;Generalist;NA;PD;;;0.64
499;Parnassia trinervis;Celastraceae;Strict;NA;PD;;0.76;0.64
500;Pedicularis alaschanica;Orobanchaceae;Strict;NA;PD;;0.32;0.38
501;Pedicularis cheilanthifolia;Orobanchaceae;Generalist;NA;PD;;0.32;0.38
502;Pedicularis kansuensis;Orobanchaceae;Generalist;NA;PD;;0.32;0.38
503;Pedicularis lachnoglossa;Orobanchaceae;Generalist;NA;PD;;0.32;0.38
504;Pedicularis lasiophrys;Orobanchaceae;Generalist;NA;PD;;0.32;0.38
505;Pedicularis longiflora;Orobanchaceae;Generalist;NA;PD;;0.32;0.38
506;Pedicularis pseudoingens;Orobanchaceae;Strict;NA;NA;;0.32;0.38
507;Pedicularis rhinanthoides;Orobanchaceae;Generalist;NA;PD;;0.32;0.38
508;Pedicularis szetschuanica;Orobanchaceae;Strict;NA;NA;;0.32;0.38
509;Pedicularis ternata;Orobanchaceae;Strict;NA;PD;;0.32;0.38
510;Pedicularis tuberosa;Orobanchaceae;Strict;0.5448;NA;;0.32;0.38
511;Pelargonium helmsii;Geraniaceae;Strict;1.05;NA;;1.00;1.00
512;Pennisetum centrasiaticum;Poaceae;Generalist;NA;PD;;0.41;0.20
513;Pentachondra pumila;Ericaceae;Strict;0.9;NA;;;0.27
514;Perezia pedicularidifolia;Compositae;Generalist;NA;NA;;1.00;1.00
515;Persicaria vivipara;Polygonaceae;Strict;2.25;NA;0.68;0.53;0.56
516;Phleum alpinum;Poaceae;Strict;0.38;NA;;0.19;0.20
517;Phleum subulatum;Poaceae;NA;NA;NA;;0.19;0.20
518;Phlomoides rotata;Lamiaceae;Generalist;NA;NA;;;0.93
519;Physospermum cornubiense;Apiaceae;NA;NA;NA;0.03;0.03;0.06
520;Phyteuma hedraianthifolium;Campanulaceae;NA;NA;NA;;;0.22
521;Phyteuma hemisphaericum;Campanulaceae;Strict;NA;NA;;;0.22
522;Phyteuma sieberi;Campanulaceae;Strict;NA;PD;;;0.22
523;Pilosella officinarum;Compositae;Generalist;0.19785;NA;;;1.00
524;Pilosella peleteriana;Compositae;NA;NA;NA;;;1.00
525;Pimelea axiflora;Thymelaeaceae;Generalist;2.5132;NA;;;0.99
526;Pimelea ligustrina;Thymelaeaceae;Generalist;3.2015;NA;;;0.99
527;Pinguicula leptoceras;Lentibulariaceae;Generalist;NA;NA;;;
528;Piptatherum munroi;Poaceae;Generalist;NA;PD;;;0.20
529;Plantago alpina;Plantaginaceae;Strict;0.6;NA;;0.72;0.48
530;Plantago atrata;Plantaginaceae;Strict;3.0744;NA;;0.72;0.48
531;Plantago depressa;Plantaginaceae;Generalist;NA;PD;;0.72;0.48
532;Plantago glacialis;Compositae;Strict;NA;NA;;0.72;1.00
533;Plantago muelleri;Plantaginaceae;Strict;NA;NA;;0.72;0.48
534;Plantago nivalis;Plantaginaceae;NA;NA;NA;;0.72;0.48
535;Pleurospermum hookeri;Apiaceae;Generalist;NA;MPD;;0.06;0.06
536;Pleurospermum wilsonii;Apiaceae;Strict;NA;MPD;;0.06;0.06
537;Pleurospermum wrightianum;Apiaceae;Strict;NA;NA;;0.06;0.06
538;Poa alpina;Poaceae;Strict;0.3592;PD;;0.12;0.20
539;Poa annua;Poaceae;Generalist;NA;PD;;0.12;0.20
540;Poa attenuata;Poaceae;Strict;NA;PD;;0.12;0.20
541;Poa costiniana;Poaceae;Generalist;0.412;NA;;0.12;0.20
542;Poa glauca;Poaceae;NA;NA;NA;;0.12;0.20
543;Poa hiemata;Poaceae;Generalist;0.356;NA;;0.12;0.20
544;Poa phillipsiana;Poaceae;Generalist;0.4161;NA;;0.12;0.20
545;Poa pratensis;Poaceae;Generalist;NA;PD;;0.12;0.20
546;Poa remota;Poaceae;NA;NA;NA;;0.12;0.20
547;Poa sikkimensis;Poaceae;Strict;NA;PD;;0.12;0.20
548;Poa szechuensis;Poaceae;Generalist;NA;PD;;0.12;0.20
549;Podolepis robusta;Compositae;Generalist;0.628;NA;;;1.00
550;Podospermum canum;Compositae;Generalist;3.2798;NA;;;1.00
551;Polygala alpina;Polygalaceae;Strict;NA;NA;;0.83;0.83
552;Polygonum fertile;Polygonaceae;Generalist;NA;ND;;0.47;0.56
553;Polygonum macrophyllum;Polygonaceae;Generalist;NA;NA;;0.47;0.56
554;Polygonum sibiricum;Polygonaceae;Generalist;NA;PD;;0.47;0.56
555;Polygonum sparsipilosum;Polygonaceae;Generalist;NA;PD;;0.47;0.56
556;Pomatosace filicula;Primulaceae;Generalist;NA;PD;;;0.30
557;Potamogeton alpinus;Potamogetonaceae;NA;NA;NA;;;
558;Potentilla aurea;Rosaceae;Strict;NA;PD;;0.88;0.90
559;Potentilla chrysantha;Rosaceae;NA;NA;NA;;0.88;0.90
560;Potentilla crantzii;Rosaceae;NA;NA;NA;;0.88;0.90
561;Potentilla grandiflora;Rosaceae;Generalist;NA;NA;;0.88;0.90
562;Potentilla multifida;Rosaceae;Generalist;NA;PD;;0.88;0.90
563;Potentilla pamiroalaica;Rosaceae;Strict;0.5152;NA;;0.88;0.90
564;Potentilla potaninii;Rosaceae;Generalist;NA;PD;;0.88;0.90
565;Potentilla saundersiana;Rosaceae;Generalist;NA;PD;;0.88;0.90
566;Primula agleniana;Primulaceae;Strict;NA;NA;;0.46;0.30
567;Primula algida;Primulaceae;NA;NA;NA;;0.46;0.30
568;Primula auricula;Primulaceae;Strict;0.24925;PD;;0.46;0.30
569;Primula auriculata;Primulaceae;NA;NA;NA;;0.46;0.30
570;Primula daonensis;Primulaceae;NA;NA;PD;;0.46;0.30
571;Primula farinosa;Primulaceae;Generalist;0.07;PD;;0.46;0.30
572;Primula gemmifera;Primulaceae;Generalist;NA;PD;;0.46;0.30
573;Primula glaucescens;Primulaceae;Generalist;0.28;PD;;0.46;0.30
574;Primula integrifolia;Primulaceae;Strict;NA;PD;;0.46;0.30
575;Primula minima;Primulaceae;Strict;0.1484;PD;;0.46;0.30
576;Primula orbicularis;Primulaceae;Strict;NA;PD;;0.46;0.30
577;Primula secundiflora;Primulaceae;Strict;NA;NA;;0.46;0.30
578;Primula stenocalyx;Primulaceae;Generalist;NA;PD;;0.46;0.30
579;Primula tangutica;Primulaceae;Strict;NA;PD;;0.46;0.30
580;Prostanthera cuneata;Lamiaceae;Generalist;1.4016;NA;;;0.93
581;Psychrophila introloba;Ranunculaceae;Strict;0.8792;NA;;;0.04
582;Pterocephalus hookeri;Caprifoliaceae;Generalist;NA;NA;;;0.34
583;Ptilagrostis dichotoma;Poaceae;Strict;NA;ND;;;0.20
584;Pulsatilla violacea;Ranunculaceae;NA;NA;NA;;0.08;0.04
585;Pyrethrum tatsienense;Compositae;Strict;NA;ND;;;1.00
586;Ranunculus acrophilus;Ranunculaceae;Strict;NA;NA;;0.04;0.04
587;Ranunculus anemoneus;Ranunculaceae;Strict;2.9575;NA;;0.04;0.04
588;Ranunculus brotherusii;Ranunculaceae;Generalist;NA;MPD;;0.04;0.04
589;Ranunculus clivicola;Ranunculaceae;Strict;NA;NA;;0.04;0.04
590;Ranunculus dissectifolius;Ranunculaceae;Strict;NA;NA;;0.04;0.04
591;Ranunculus graniticola;Ranunculaceae;Generalist;1.7748;NA;;0.04;0.04
592;Ranunculus gunnianus;Ranunculaceae;Strict;2.1368;NA;;0.04;0.04
593;Ranunculus kamchaticus;Ranunculaceae;Generalist;NA;NA;;0.04;0.04
594;Ranunculus lappaceus;Ranunculaceae;Generalist;2.7941;NA;;0.04;0.04
595;Ranunculus montanus;Ranunculaceae;Generalist;NA;NA;;0.04;0.04
596;Ranunculus muelleri;Ranunculaceae;Strict;1.4172;NA;;0.04;0.04
597;Ranunculus niphophilus;Ranunculaceae;Strict;NA;NA;;0.04;0.04
598;Ranunculus pimpinellifolius;Ranunculaceae;Generalist;NA;NA;;0.04;0.04
599;Reynoutria multiflora;Polygonaceae;NA;NA;NA;;;0.56
600;Rheum palmatum;Polygonaceae;Generalist;NA;NA;;0.63;0.56
601;Rhinanthus alectorolophus;Orobanchaceae;NA;NA;PD;;0.21;0.38
602;Rhinanthus glacialis;Orobanchaceae;Generalist;NA;NA;;0.21;0.38
603;Rhinanthus serotinus;Orobanchaceae;NA;NA;PD;;0.21;0.38
604;Rhodiola kirilowii;Crassulaceae;Generalist;0.1269;PD;;;1.00
605;Rhodiola macrocarpa;Crassulaceae;Generalist;NA;PD;;;1.00
606;Rhodiola tangutica;Crassulaceae;Generalist;NA;NA;;;1.00
607;Rhododendron ferrugineum;Ericaceae;Strict;0.028;PD;;0.25;0.27
608;Rhodophiala andicola;Amaryllidaceae;Generalist;NA;NA;;;0.30
609;Ribes petraeum;Grossulariaceae;NA;NA;PD;;0.02;0.03
610;Richea continentis;Ericaceae;Strict;0.0648;NA;;;0.27
611;Roegneria breviglumis;Poaceae;Strict;NA;PD;;;0.20
612;Rorippa elata;Brassicaceae;Generalist;NA;NA;;;1.00
613;Rumex alpestris;Polygonaceae;Strict;1.2168;NA;;0.50;0.56
614;Rumex nepalensis;Polygonaceae;Generalist;2.6744;ND;;0.50;0.56
615;Rumex suffruticosus;Polygonaceae;Strict;1.1488;NA;;0.50;0.56
616;Rytidosperma alpicola;Poaceae;Strict;NA;NA;;;0.20
617;Rytidosperma nudiflorum;Poaceae;Generalist;1.275;NA;;;0.20
618;Rytidosperma pictum;Poaceae;Generalist;NA;NA;;;0.20
619;Rytidosperma pumilum;Poaceae;Generalist;NA;NA;;;0.20
620;Sagina nivalis;Caryophyllaceae;NA;NA;NA;;0.74;0.66
621;Sagina saginoides;Caryophyllaceae;NA;NA;NA;0.74;0.74;0.66
622;Salix myrsinifolia;Salicaceae;NA;NA;ND;;1.00;0.91
623;Sanguisorba filiformis;Rosaceae;Generalist;NA;NA;;1.00;0.90
624;Sanicula graveolens;Apiaceae;Generalist;2.655;NA;0.04;0.03;0.06
625;Saponaria lutea;Caryophyllaceae;Strict;0.678;NA;;0.56;0.66
626;Saussurea globosa;Compositae;Strict;NA;PD;;1.00;1.00
627;Saussurea graminea;Compositae;Strict;NA;PD;;1.00;1.00
628;Saussurea hieracioides;Compositae;Strict;NA;PD;;1.00;1.00
629;Saussurea kansuensis;Compositae;Strict;NA;PD;;1.00;1.00
630;Saussurea pachyneura;Compositae;Strict;NA;NA;;1.00;1.00
631;Saussurea przewalskii;Compositae;Strict;NA;PD;;1.00;1.00
632;Saussurea stella;Compositae;Generalist;NA;PD;;1.00;1.00
633;Saussurea sylvatica;Compositae;Generalist;NA;PD;;1.00;1.00
634;Saxifraga aizoides;Saxifragaceae;Generalist;0.05;MPD;;0.33;0.20
635;Saxifraga bryoides;Saxifragaceae;Strict;0.0302;MPD;;0.33;0.20
636;Saxifraga caesia;Saxifragaceae;Strict;NA;MPD;;0.33;0.20
637;Saxifraga cespitosa;Saxifragaceae;NA;NA;NA;;0.33;0.20
638;Saxifraga egregia;Saxifragaceae;Generalist;NA;PD;;0.33;0.20
639;Saxifraga exarata;Saxifragaceae;Strict;0.089;NA;;0.33;0.20
640;Saxifraga heleonastes;Saxifragaceae;Strict;NA;NA;;0.33;0.20
641;Saxifraga hirculus;Saxifragaceae;NA;NA;ND;;0.33;0.20
642;Saxifraga hostii;Saxifragaceae;Generalist;0.26;NA;;0.33;0.20
643;Saxifraga melanocentra;Saxifragaceae;Strict;NA;NA;;0.33;0.20
644;Saxifraga montana;Saxifragaceae;Generalist;NA;PD;;0.33;0.20
645;Saxifraga nivalis;Saxifragaceae;NA;NA;PD;;0.33;0.20
646;Saxifraga oppositifolia;Saxifragaceae;Strict;0.11;MPD;;0.33;0.20
647;Saxifraga paniculata;Saxifragaceae;Generalist;0.0625;MPD;;0.33;0.20
648;Saxifraga rivularis;Saxifragaceae;NA;NA;NA;;0.33;0.20
649;Saxifraga sinomontana;Saxifragaceae;Generalist;NA;NA;;0.33;0.20
650;Saxifraga stellaris;Saxifragaceae;Strict;0.0352;MPD;;0.33;0.20
651;Saxifraga tangutica;Saxifragaceae;Generalist;NA;NA;;0.33;0.20
652;Scandix iberica;Apiaceae;NA;NA;NA;0.12;0.14;0.06
653;Schizanthus grahamii;Solanaceae;Generalist;1.2261;NA;;;0.47
654;Schizanthus hookeri;Solanaceae;Generalist;1.5;NA;;;0.47
655;Scleranthus singuliflorus;Caryophyllaceae;Strict;NA;NA;;0.72;0.66
656;Scorzoneroides cantabrica;Compositae;Strict;NA;NA;;;1.00
657;Scorzoneroides helvetica;Compositae;Strict;1.71;NA;;;1.00
658;Sedum ulricae;Crassulaceae;Strict;NA;PD;;1.00;1.00
659;Sedum villosum;Crassulaceae;NA;NA;PD;;1.00;1.00
660;Sempervivum caucasicum;Crassulaceae;NA;NA;NA;;;1.00
661;Senecio bipontinii;Compositae;Generalist;NA;NA;;1.00;1.00
662;Senecio chionophilus;Compositae;Strict;NA;NA;;1.00;1.00
663;Senecio doronicum;Compositae;Strict;0.28;NA;;1.00;1.00
664;Senecio dubitabilis;Compositae;Generalist;NA;PD;;1.00;1.00
665;Senecio eruciformis;Compositae;Generalist;0.6128;NA;;1.00;1.00
666;Senecio gunnii;Compositae;Generalist;0.253;NA;;1.00;1.00
667;Senecio squalidus;Compositae;Generalist;0.287166667;NA;;1.00;1.00
668;Senecio thianschanicus;Compositae;Generalist;NA;NA;;1.00;1.00
669;Sesleria albicans;Poaceae;Generalist;0.32;NA;;0.09;0.20
670;Sesleria caerulea;Poaceae;Generalist;1.3264;NA;;0.09;0.20
671;Sesleria sphaerocephala;Poaceae;Strict;NA;NA;;0.09;0.20
672;Sibbaldia procumbens;Rosaceae;Strict;0.45;NA;;1.00;0.90
673;Silene acaulis;Caryophyllaceae;Strict;0.3596;PD;;0.61;0.66
674;Silene andicola;Caryophyllaceae;Strict;NA;NA;;0.61;0.66
675;Silene ciliata;Caryophyllaceae;Generalist;NA;NA;;0.61;0.66
676;Silene frivaldskyana;Caryophyllaceae;NA;NA;NA;;0.61;0.66
677;Silene himalayensis;Caryophyllaceae;Generalist;NA;ND;;0.61;0.66
678;Silene linearifolia;Caryophyllaceae;NA;NA;NA;;0.61;0.66
679;Silene pygmaea;Caryophyllaceae;NA;NA;NA;;0.61;0.66
680;Silene rupestris;Caryophyllaceae;Generalist;0.0696;PD;;0.61;0.66
681;Silene suecica;Caryophyllaceae;Strict;0.0695;NA;;0.61;0.66
682;Silene uniflora;Caryophyllaceae;NA;NA;NA;;0.61;0.66
683;Silene vallesia;Caryophyllaceae;Generalist;0.6768;NA;;0.61;0.66
684;Silene viscariopsis;Caryophyllaceae;NA;NA;NA;;0.61;0.66
685;Silene vulgaris;Caryophyllaceae;Generalist;0.912;NA;;0.61;0.66
686;Sinochasea trigyna;Poaceae;Strict;NA;PD;;;0.20
687;Sinopodophyllum hexandrum;Berberidaceae;Generalist;NA;MPD;;;0.08
688;Sisymbrium heteromallum;Brassicaceae;Generalist;NA;PD;;1.00;1.00
689;Sisyrinchium arenarium;Iridaceae;Generalist;3.09;NA;;0.11;0.09
690;Sisyrinchium pearcei;Iridaceae;Generalist;NA;NA;;0.11;0.09
691;Smelowskia tibetica;Brassicaceae;Strict;NA;NA;;;1.00
692;Solanum nigrum;Solanaceae;NA;NA;NA;;0.39;0.47
693;Soldanella alpina;Primulaceae;Strict;0.21;ND;;;0.30
694;Solidago virgaurea;Compositae;Generalist;0.468583333;PD;;1.00;1.00
695;Spiraea mongolica;Rosaceae;Generalist;NA;NA;;0.73;0.90
696;Stachys alpina;Lamiaceae;NA;NA;PD;;0.77;0.93
697;Stachys balansae;Lamiaceae;NA;NA;NA;;0.77;0.93
698;Stachys grandidentata;Lamiaceae;Generalist;2.1696;NA;;0.77;0.93
699;Stackhousia monogyna;Celastraceae;Generalist;2.6304;PD;;;0.64
700;Stackhousia pulvinaris;Celastraceae;Strict;1.778;NA;;;0.64
701;Stellaria decumbens;Caryophyllaceae;Strict;NA;NA;;0.69;0.66
702;Stellaria uda;Caryophyllaceae;Generalist;NA;ND;;0.69;0.66
703;Stephanachne nigrescens;Poaceae;Strict;NA;PD;;;0.20
704;Stipa aliena;Poaceae;Generalist;NA;PD;;0.12;0.20
705;Stipa breviflora;Poaceae;Generalist;NA;NA;;0.12;0.20
706;Stipa capillacea;Poaceae;Generalist;NA;PD;;0.12;0.20
707;Stipa concinna;Poaceae;Strict;NA;PD;;0.12;0.20
708;Stipa pappiformis;Poaceae;Strict;NA;NA;;0.12;0.20
709;Stipa regeliana;Poaceae;Generalist;NA;PD;;0.12;0.20
710;Stipa splendens;Poaceae;Generalist;NA;PD;;0.12;0.20
711;Stylidium graminifolium;Stylidiaceae;Generalist;0.182;PD;;;
712;Swertia bifolia;Gentianaceae;Generalist;NA;PD;;;0.21
713;Swertia erythrosticta;Gentianaceae;Generalist;NA;PD;;;0.21
714;Swertia wolfgangiana;Gentianaceae;Generalist;NA;PD;;;0.21
715;Taraxacum alpinum;Compositae;Strict;0.58;NA;;1.00;1.00
716;Taraxacum confusum;Compositae;Strict;NA;NA;;1.00;1.00
717;Taraxacum pieninicum;Compositae;NA;NA;NA;;1.00;1.00
718;Taraxacum stevenii;Compositae;Strict;NA;NA;;1.00;1.00
719;Tasmannia xerophila;Winteraceae;Generalist;28.85;NA;;;
720;Teesdaliopsis conferta;Brassicaceae;Strict;NA;NA;;;1.00
721;Teucrium chamaedrys;Lamiaceae;NA;NA;PD;;;0.93
722;Thalictrum alpinum;Ranunculaceae;Generalist;0.688;MPD;;0.04;0.04
723;Thalictrum rutifolium;Ranunculaceae;Generalist;NA;MPD;;0.04;0.04
724;Thlaspi alpestre;Brassicaceae;NA;NA;NA;;;1.00
